zone,zone_name,actual_load_mw,target_load_mw,load_share,actual_load_q_mvar,target_load_q_mvar,source_csv_line,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,scale_policy,scale_reference_scenario_id,scale_reference_source_id,target_use,provenance_class,source_field,actual_unit,model_power_scale
A,WEST,2366.9,848.917621255557,0.0778664929647431,NaN,NaN,188,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
B,GENESE,1841.1,660.333023149945,0.0605686764110814,NaN,NaN,181,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
C,CENTRL,2591.6,929.509023298788,0.0852586941431527,NaN,NaN,179,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
D,NORTH,603.1,216.309188127604,0.0198408390329277,NaN,NaN,187,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
E,MHK VL,1304.9,468.018337900366,0.0429287197049699,NaN,NaN,184,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
F,CAPITL,2224.3,797.77238791615,0.0731752251051916,NaN,NaN,178,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
G,HUD VL,2180.2,781.955383776824,0.0717244192664383,NaN,NaN,182,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
H,MILLWD,652.3,233.955369616376,0.0214594251387477,NaN,NaN,185,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
I,DUNWOD,1312.7,470.815903258342,0.0431853248193072,NaN,NaN,180,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
J,N.Y.C.,10014.7,3591.89458852847,0.329464517763325,NaN,NaN,186,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,2019-07-20T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P58C:20190720,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,operating_input,source_verified_public_record,Integrated Load,MW,year_peak_scaled_benchmark_MW
